AMD Athlon LE-1600,21.0,45.0,2009-03-01,AM2,2200.0,1
AMD Athlon LE-1620,18.0,45.0,2009-03-01,AM2,2400.0,1
AMD Athlon LE-1640,89.95,45.0,2009-02-01,AM2,2700.0,1
AMD Athlon LE-1660,0.0,45.0,2009-04-01,AM2,2800.0,1
AMD Athlon PRO 200GE,0.0,35.0,2018-05-01,AM4,3200.0,2
AMD Athlon PRO 300GE,0.0,35.0,2019-10-01,AM4,3400.0,2
AMD Athlon Silver PRO 3125GE,0.0,35.0,2020-07-01,AM4,3400.0,2
AMD Athlon X2 450,0.0,65.0,2022-07-01,FM2+,3500.0,2
AMD Athlon X2 Dual Core BE-2300,60.0,45.0,2009-02-01,AM2,1900.0,2
AMD Athlon X2 Dual Core BE-2350,0.0,45.0,2009-03-01,AM2,2100.0,2
AMD Athlon X2 Dual Core BE-2400,0.0,18.0,2009-03-01,FT1,2300.0,2
AMD Athlon X4 530,0.0,25.0,2021-03-01,AM1,2000.0,4
AMD Athlon X4 730,0.0,65.0,2022-02-01,FM2,2800.0,2
AMD Athlon X4 740 Quad Core,12.79,65.0,2012-11-01,FM2,3200.0,2
AMD Athlon X4 750 Quad Core,94.75,65.0,2015-03-01,FM2,3400.0,4
AMD Athlon X4 760K Quad Core,15.3,100.0,2013-08-01,FM2,3800.0,2
AMD Athlon X4 830,202.32,65.0,2018-02-01,FM2+,3000.0,2
AMD Athlon X4 840,124.95,65.0,2015-01-01,FM2+,3100.0,2
AMD Athlon X4 845,59.99,65.0,2016-03-01,FM2+,3500.0,2
AMD Athlon X4 860K,68.76,95.0,2014-09-01,FM2+,3700.0,2
AMD Athlon X4 870K,34.3,95.0,2016-03-01,FM2+,3900.0,2
AMD Athlon X4 880K,94.61,95.0,2016-04-01,FM2+,4000.0,2
AMD Athlon X4 950,29.93,65.0,2017-09-01,AM4,3500.0,4
AMD Athlon XP 1700+,51.25,64.0,2009-02-01,Socket A (462),1467.0,1
AMD Athlon XP 1800+,50.95,66.0,2009-03-01,Socket A,1533.0,1
AMD Athlon XP 2000+,58.99,70.0,2009-02-01,Socket A,1667.0,1
AMD Athlon XP 3000+,79.7,62.0,2009-03-01,Socket A,2167.0,1
AMD Athlon64 X2 Dual Core 4600+,0.0,110.0,2009-05-01,AM2,2400.0,2
AMD E2-1800 APU,0.0,18.0,2012-06-01,FT1,1700.0,2
AMD E2-3200 APU,7.99,65.0,2011-12-01,FM1,2400.0,2
AMD E2-9030,0.0,0.0,2019-01-01,BGA (FT4),2000.0,2
AMD FirePro A320 APU,0.0,100.0,2016-08-01,FM2,3800.0,4
AMD FX-4100 Quad-Core,20.54,95.0,2011-10-01,AM3+,3600.0,2
AMD FX-4130 Quad-Core,19.93,125.0,2012-12-01,AM3+,3800.0,2
AMD FX-4150 Quad-Core,0.0,125.0,2013-12-01,AM3+,4000.0,4
AMD FX-4170 Quad-Core,30.77,125.0,2012-03-01,AM3+,4200.0,2
AMD FX-4200 Quad-Core,59.95,125.0,2013-12-01,AM3+,3300.0,4
AMD FX-4300 Quad-Core,20.37,95.0,2012-12-01,AM3+,3800.0,2
AMD FX-4320,0.0,95.0,2016-01-01,AM3+,4000.0,2
AMD FX-4330,733.5,95.0,2015-12-01,AM3+,4000.0,2
AMD FX-4350 Quad-Core,95.44,125.0,2013-06-01,AM3+,4200.0,2
AMD FX-6100 Six-Core,24.84,95.0,2011-10-01,AM3+,3300.0,3
AMD FX-6120 Six-Core,78.02,95.0,2012-06-01,AM3+,3500.0,3
